# sizemeup-build 2024.10.11
name	tax_id	category	size	source	method
Azorhizobium caulinodans	7	bacteria	5636513	ncbi	automatic
Buchnera aphidicola	9	bacteria	559368	ncbi	automatic
Shewanella colwelliana	23	bacteria	4631520	ncbi	automatic
Shewanella putrefaciens	24	bacteria	4386283	ncbi	automatic
Myxococcus xanthus	34	bacteria	9263329	ncbi	automatic
Sorangium cellulosum	56	bacteria	11989871	ncbi	automatic
Lysobacter enzymogenes	69	bacteria	6140343	ncbi	automatic
Gimesia maris	122	bacteria	7777997	ncbi	automatic
Blastopirellula marina	124	bacteria	7387897	ncbi	automatic
Borreliella burgdorferi	139	bacteria	1335550	ncbi	automatic
Borrelia hermsii	140	bacteria	1326764	ncbi	automatic
Borrelia turicatae	142	bacteria	1564967	ncbi	automatic
Treponema denticola	158	bacteria	2809539	ncbi	automatic
Brachyspira hyodysenteriae	159	bacteria	3085657	ncbi	automatic
Treponema pallidum	160	bacteria	1138664	ncbi	automatic
Treponema phagedenis	162	bacteria	3250767	ncbi	automatic
Treponema bryantii	163	bacteria	3371028	ncbi	automatic
Treponema pectinovorum	164	bacteria	2224027	ncbi	automatic
Leptospira biflexa	172	bacteria	3879078	ncbi	automatic
Leptospira interrogans	173	bacteria	4622944	ncbi	automatic
Leptospira borgpetersenii	174	bacteria	3917379	ncbi	automatic
Azospirillum brasilense	192	bacteria	7134170	ncbi	automatic
Azospirillum lipoferum	193	bacteria	7984020	ncbi	automatic
Campylobacter coli	195	bacteria	1985000	ncbi	manually-set
Campylobacter fetus	196	bacteria	1985000	ncbi	manually-set
Campylobacter jejuni	197	bacteria	1985000	ncbi	manually-set
Campylobacter hyointestinalis	198	bacteria	1985000	ncbi	manually-set
Campylobacter concisus	199	bacteria	1985000	ncbi	manually-set
Campylobacter curvus	200	bacteria	1985000	ncbi	manually-set
Campylobacter lari	201	bacteria	1985000	ncbi	manually-set
Campylobacter mucosalis	202	bacteria	1985000	ncbi	manually-set
Campylobacter rectus	203	bacteria	2542393	ncbi	automatic
Campylobacter showae	204	bacteria	1985000	ncbi	manually-set
Campylobacter sputorum	206	bacteria	1985000	ncbi	manually-set
Helicobacter pylori	210	bacteria	1625282	ncbi	automatic
Helicobacter acinonychis	212	bacteria	1535494	ncbi	automatic
Helicobacter cinaedi	213	bacteria	2115782	ncbi	automatic
Helicobacter felis	214	bacteria	1609110	ncbi	automatic
Helicobacter fennelliae	215	bacteria	2158551	ncbi	automatic
Helicobacter muridarum	216	bacteria	2205704	ncbi	automatic
Pseudoalteromonas carrageenovora	227	bacteria	4491472	ncbi	automatic
Brucella abortus	235	bacteria	3284897	ncbi	automatic
Brucella ovis	236	bacteria	3290674	ncbi	automatic
Elizabethkingia meningoseptica	238	bacteria	4150000	ncbi	manually-set
Planomicrobium okeanokoites	244	bacteria	3420275	ncbi	automatic
Empedobacter brevis	247	bacteria	3780538	ncbi	automatic
Chryseobacterium gleum	250	bacteria	5177905	ncbi	automatic
Chryseobacterium indologenes	253	bacteria	4859215	ncbi	automatic
Chryseobacterium indoltheticum	254	bacteria	4254717	ncbi	automatic
Myroides odoratus	256	bacteria	4188881	ncbi	automatic
Sphingobacterium spiritivorum	258	bacteria	5137577	ncbi	automatic
Sphingobacterium thalpophilum	259	bacteria	5849002	ncbi	automatic
Francisella tularensis	263	bacteria	1790277	ncbi	automatic
Paracoccus denitrificans	266	bacteria	5148898	ncbi	automatic
Thermus thermophilus	274	bacteria	2197308	ncbi	automatic
Meiothermus ruber	277	bacteria	3058615	ncbi	automatic
Xanthobacter autotrophicus	280	bacteria	5028426	ncbi	automatic
Comamonas testosteroni	285	bacteria	5743091	ncbi	automatic
Pseudomonas aeruginosa	287	bacteria	6475000	ncbi	manually-set
Burkholderia cepacia	292	bacteria	8166000	ncbi	manually-set
Brevundimonas diminuta	293	bacteria	3372281	ncbi	automatic
Pseudomonas fluorescens	294	bacteria	6371166	ncbi	automatic
Pseudomonas fragi	296	bacteria	5077209	ncbi	automatic
Pseudomonas marginalis	298	bacteria	6730220	ncbi	automatic
